"S.No","Date","Request Id","trip_start_time","trip_end_time","User Name","Driver Name","Owner Name","Trip Status","Paid Status","Payment Option","Vehicle Type","Ride Type","Trip Time","Trip Distance","Driver Commission","Admin commission For Customer","Total Amount"
"1","07/02/2024","REQ_1718999484","-","-","Hashim","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"2","07/01/2024","REQ_1718999475","-","-","محمد","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Rental Instant","0 Mins","0 Km","-","-","-"
"3","07/01/2024","REQ_1718999461","1st Jul 01:09 PM","1st Jul 01:11 PM","user","driver onne","Individual","Completed","Paid","Wallet","Sedan","Regular-Instant","1 Mins","0 Km","₹ 7","₹ 9","₹ 16"
"4","07/04/2024","REQ_1718999513","-","-","Android User","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"5","07/01/2024","REQ_1718999474","-","-","محمد","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Rental Instant","0 Mins","0 Km","-","-","-"
"6","07/03/2024","REQ_1718999494","-","-","kijg","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"7","07/03/2024","REQ_1718999512","-","-","macjuum","abdullahi","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"8","07/02/2024","REQ_1718999485","-","-","Hashim","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"9","07/01/2024","REQ_1718999465","1st Jul 01:26 PM","1st Jul 01:27 PM","user","driver onne","Individual","Completed","Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","₹ 3.5","₹ 4.5","₹ 8"
"10","07/02/2024","REQ_1718999481","-","-","vbhh","-","Individual","Cancelled","Not Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","-","-","-"
"11","07/01/2024","REQ_1718999473","2nd Jul 02:37 AM","2nd Jul 02:49 AM","محمد","moooo","Individual","Completed","Paid","Wallet","Sedan","Regular-Instant","11 Mins","0 Km","₹ 42","₹ 54","₹ 96"
"12","07/01/2024","REQ_1718999470","2nd Jul 01:45 AM","2nd Jul 01:46 AM","محمد","moooo","Individual","Completed","Paid","Wallet","Sedan","Regular-Instant","0 Mins","0 Km","₹ 3.5","₹ 4.5","₹ 8"
